LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
19589,[서울 목동] 목동 종합사격장,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
19595,[서울 송파] 송파 사격장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
19722,[전북] 전북투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
19767,[제주 제주시] RPB 패러글라이딩,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
19952,[전북 전주] 전주 한옥마을패스권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20066,[강원 인제] 인제 ATV,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20281,[경기 안산]별빛마을 빛축제 + 거울미로,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20374,[경북 경주]스쿠터 대여 스쿠터팡,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20474,아쿠아플라넷 + 성산포유람선,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20476,아쿠아플라넷 + 얼라이브카트,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20538,[경북 경주] 한복대여 한복동이,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
20575,아쿠아플라넷 + 허브동산 야간권,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20576,아쿠아플라넷 + 러브랜드,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20578,아쿠아플라넷 + 박물관은 살아있다,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20586,[서울 잠실] 석촌호수 전동휠렌탈샵 제이휠,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20596,[제주]아쿠아플라넷 + 레일바이크,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20627,[전북 전주] 한옥마을패스권 + 말순이 한복대여,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20628,[전북] 한옥마을패스권 + 한복길 한복대여,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
20697,[경기 가평] 인터렉티브 아트 뮤지엄,- 업체명 : ㈜야놀자 - 문의전화 : 1599-8370(야놀자 고객센터) * 상담시간 : 09:00 ~ 19:00
21018,[부산 남포] 심신프리 힐링카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
21019,[인천 중구] 영종도 레일바이크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
21968,[전북 전주]한옥마을 한복대여 전주한복,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
22000,[부산 동구] BUTI 시티 투어 버스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23035,[전북 군산] 패러글라이딩 스쿨,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
23038,[전북 전주] 전주한옥마을 한복대여 한복남,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
