LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
35387,[경기 수원] 삼풍수영장,"수도권의 중심지인 수원에 야외 수영장이 등장했습니다 !  새롭게 리모델링 되어 여러가지 놀이기구과 체험할 수 있는 장소(하이 슬라이드, 우주 비행기, 미니 바이킹 등)가 준비 되어 있습니다. 가깝고 편하지만 결코 피서지로 부족하지 않은 삼풍 수영장으로 놀러오세요~"
35389,[전북 전주] 한옥 레일바이크,가장 한국적인 전통문화를 담고 있는 천년의 도시 전주 한옥 레일바이크를 소개합니다. 전주 한옥 레일바이크는 연간 700만명이 찾는 대한민국 최대의 관광명소인 아중역 폐선부지에 아중역~왜망실까지 왕복 3.4km를 시속 15~20km로 운행 할 수 있도록 제작된 철길 자전거 입니다. 국내 최초 전구간 KTX와 함께 달리는 레일바이크로 사계절 이용객들의 오감이 즐거운 체험 프로그램입니다!
35390,[강원 삼척] 강원종합박물관 입장권,"세대를 막론하고 배움에 대한 열정을 가진 여러분들의 평생 교육의 장인 ""강원종합박물관""을 소개합니다. 세계 각국에서 수집된 자연사 유물과 예술품들은 그 자체의 연구 가치고 훌륭하지만 각 시대의 생활상을 간접적으로 체험할 수 있는 의미있는 시간을 제공해 드리고 있습니다. 예술 , 역사, 미술, 과학 등등에 관한 수집품 및 식물원, 동물원 수족관 등의 문화적 가치가 있는 표본 자료를 보존 하고 있으니 많이 보러 오세요~"
35394,[전남 광양] 와인동굴,"광양와인동굴은 단순히 와인만을 즐기는 곳이 아닌 가족과 함께 연인, 친구들과 함께 아름다운 추억을 만드는 곳, 와인과 예술이 어우러진 복합문화예술공간을 꿈꾸고 있습니다. 와인을 어렵게만 생각하는 사람들이 와인과 좀 더 친숙해 질 수 있도록 전 세계 와인을 한곳에서 만나며 부담 없이 즐길 수 있는 곳이기도 합니다.  오랜 시간 발효와 숙성을 거쳐 깊은 향과 맛을 내는 와인처럼, 광양와인동굴도 정체되지 않고 점점 발전하고 있으니 다 함께 놀러오세요~"
35395,[강원 태백] 365세이프 타운 자유이용권,"국내 최초로 안전에 대한 직접체험과 교육을 동시에 받을 수 있는 신개념의 HERO 체험관을 지금 경험해 보세요. 5가지(산불, 설해, 풍수해, 지진, 대테러)안전을 주제로 프리쇼, 메인쇼, 포스트쇼로 구성되어 있으며, 실감나는 재난 체험을 하다보면 어느새 대처법을 배울 수 있습니다."
35447,[강원 속초] 호텔 스파스토리 인 설악 스파 입장권,"서울과 1시간 40분 거리의 휴양형 온천 호텔인 호텔 스파 스토리는 설악을 대표하는 호텔로 305객실의 안락한 분위기의 객실과 마음을 담은 정성스러운 서비스로 고객 감동을 추구하고 있으며, 고객의 편의를 위해 최선을 다하는 고객만을 위한 호텔입니다.  또한 타 온천과 비교할 수 없는 대규모 실리카 알카리성 온천을 완비하고 있으며, 설악과 속초 바다가 어우러진 천혜의 자연 환경속에 위치하고 있기 때문에 제대로 된 힐링을 하실 수 있습니다."
35462,[전남 담양] 에어로마스터 경비행기 체험,"담양의 푸른 하늘과 새하얀 구름 속을 날아 보세요~! 담양의 아름다움과 짜릿함을 동시에 즐길 수 있는 경비행기 체험 프로그램입니다. 특별한 추억을 남겨 볼 수 있는 경비행기 체험, 어떠신가요?"
35463,[강원 인제] 곰레포츠 : 래프팅/ATV/서바이벌,"믿고 즐기는 레저 스포츠 '곰 레포츠' 소개합니다. 래프팅/ ATV / 서바이벌 모두를 즐길 수 있습니다! 또한 전문 강사진으로 이루어져 즐거움, 안전, 스릴 3가지를 동시에 느껴보세요!"
35465,[경기 일산] 원마운트 스노우파크 7월,사계절 내내 겨울을 만날 수 있는 테마파크! 하얀 겨울왕국에서 예쁜 추억을 만들어 보세요
35476,[충북 단양] 다누리아쿠아리움,온가족이 함께하는 대규모 민물고기 생태관!  단양팔경을 그대로 재현한 단양 다누리 아쿠아리움입니다.
35552,[강원 평창] 대관령양떼목장,"대관령양떼목장의 부드러운 능선과 야생 식물로 가득 차있는 습지대는 자연 그대로의 모습을 간직하고 있기에 더욱 아름답고 신기하기만 합니다.  푸른 초지가 바람에 흔들거리는 아름다운 목장의 능선에서 양들이 한가로이 풀을 뜯고 있는 모습을 보고 있으면 마치 알프스에 와 있는듯한 착각을 불러 일으킵니다.  특히 봄, 여름, 가을, 겨울 그리고 시시각각 변하는 목장의 모습을 통해 자연의 신비로움과 아름다움을 몸소 느낄 수도 있습니다.  또한 아이들에게는 재미있고 유익한 자연학습 체험장으로, 사랑하는 연인과 부부에게는 정겨운 데이트 코스로, 어르신들에게는 어린 날의 추억을 떠올리게 하는 장소입니다."
35558,[경북 울진] 덕구온천 스파월드 (7/1~7/19),"국내 단 한곳 밖에 없는 자연 용출온천 <덕구 스파월드>  뛰어난 수질을 자랑하고 42.2도의 약알카리 성분을 함유하고 있으며 신경통, 관절염, 근육통, 피부질환,당뇨병등 성인병에 뛰어난 효과가 있습니다. 최고의 쉼터가 될, 최고의 온천이 될 이곳에서 다양한 스파와 온천, 시설을 누려보세요."
35559,[충남 아산] 피나클랜드 여름상품,"사계절 푸르른 테마정원과 산책로가 갖춰진 서울 근교 힐링플레이스 아산피나클랜드.  200m 가량 쭉 뻗은 메타세콰이어 로드와  느티나무 광장, 여유롭게 뛰어 놀고 휴식도 취할 수 있는 잔디 광장, 각종 수생식물 자라나는 워터 가든과 아산만의 드넓은 평야와 서해대교, 평택호의 전경이 파노라마처럼 펼쳐지는 전망대 등이 갖춰져 있습니다.   4계절 테마가 있는 정원, 아산 피나클랜드로 기분전환 나들이 떠나보세요."
35561,[인천 송도] 도심형 테마파크 몬스터 VR 7월,"게임, 익스트림 레포츠를 앉아서 생동감 있게 즐긴다 <송도 몬스터 VR 테마파크>  [정글테마] 열기구를 타고 정글을 탐험하고, 그네를 타고 번지 점프도 하고, 외나무 다리에서 고릴라와 펼치는 한판 승부!  [익스트림] 레이싱, 우주 비행사, 슈팅게임, 봅슬레이, 롤러코스터 등  이밖에 20종 이상 룸 스케일 게임과 시네마 영상을 VR로 즐길 수 있습니다."
35564,[경북 경산] 팔공산 갓바위 워터피아 이용권,"팔공산 지하 1,200M 온천수로 놀면 놀수록 피부미인이 되는 워터파크입니다.  온천수로 사계절 내내 즐길 수 있는 실내 테마파크와 다양한 편의시설을 갖추고 있습니다.  수영장에서 신나게 놀고 찜질방에서 몸 풀고 온천으로 힐링하는 온가족이 함께 누릴 수 있는 곳 입니다."
35568,[경남 창원] 출발 키즈드림팀,"미세먼지, 더위 걱정 없는 대규모 키즈월드 '출발 키즈 드림팀'을 소개합니다! 아이들의 체력증진은 물론, 다양한 친구들과 함께 하기 때문에 사회성을 키울 수 있습니다~ 팽이놀이, 에어바운스, 유로번지 등등 놀이시설이 다양합니다."
35579,"[경기 여주] 썬밸리 워터파크 종일권 7,8월",남녀노소 모두가 즐기는 워터파크/스파 이국적인 분위기로 럭셔리하고 편안하게~ 특별한 추억을 만들어보세요!
35580,[경기 일산] 원마운트 워터파크 7월,"올 여름을 시원하게 장식할 워터파크 상륙! 실내, 실외워터파크는 물론 다양한 부대시설로 즐거운 물놀이 가능!"
35670,[충북 단양] 온달관광지,"고구려의 숨결이 살아있는곳 ! 온달장군과 평강 공주가 함께 하는 온달 관광지입니다. 단양에서 영춘면으로 가는 길은 내내 남한강을 끼고 달리며, 때로는 강가에 기암절벽이 시선을 압도하기도 하는 대단히 수려한 드라이브 코스입니다.  영춘면으로 들어서는 길목에서 방향을 틀어 구인사로 향하다 보면 거대한 기와의 물결이 화려한 온달관광지 입구에 오릅니다. 고구려의 명장 온달장군과 평강공주의 전설을 테마로 한 온달전시관을 비롯하여 온달산성, 온달동굴 등 명승지를 모아놓은 곳입니다.  입구에 들어서면 가장 먼저 떡 벌어진 풍채를 자랑하는 드라마세트장이 눈길을 끕니다."
35671,[서울 노원] 피노파밀리아 키즈테마파크,현실에서 만나는 피노키오 마을! 눈에 닿는 모든 것이 예술인 이곳은 어른 아이 할 것 없이 즐길 수 있는 동심의 세계에요.
35676,[경기 화성] 하피랜드 : 워터파크 + 찜질방 + 스파,화성에서 즐기는 복합 레저 공간  허브 식물공원으로 쾌적한 환경을 누릴 수 있고 800M에서 끌어 올린 천연 온천수로 피로를 해소하고 비가 와도 끄떡없다! 수심 낮은 실내외의 워터파크까지 편의시설들과 다양한 레저공간을 이용할  수 있습니다.
35681,[대구 동구] 얼라이브 아쿠아리움,"새로움을 창조하는 얼라이브 아쿠아리움 대구는 매일매일 색다른 즐거움을 느낄 수 있고, 체험과 동물들과의 교감을 통해 특별한 경험과 잊지 못할 감동을 선사합니다. 대표 생물인 '매너티' 와의 교감이 돋보이는 피딩&토크쇼가 준비되어 있으며, 트리하우스에서는 앵무새와 수달 등 초근접 카메라를 활용하여 독특한 외형과 특징을 대형 화면으로 관찰할 수 있습니다. 물 위에서 수조를 내려다 볼 수 있는 '대구 바다 구름다리', 돔형태의 파노라마 수조인 '천장 수조' 화려한 조명과 거울이 만나 펼쳐지는 ‘바다 미로 수조’ 등 최신 아쿠아 전시기법의 이색 수조를 통해 다양한 시선에서 관람할 수 있습니다. 이밖에도 바다의 환상적인 느낌을 전하는 ‘블랙아트’와 다양한 포토 포인트의 ‘트릭아트 작품’ , 그리고 내가 그린 바다 생물이 살아 움직이는 ‘스케치 아쿠아리움’등 아쿠아리움 곳곳에 색다른 재미가 가득합니다. 판타스틱하고 환상적인 체험들을 선사하는 펀(Fun)한 얼라이브 아쿠아리움을 만나보세요."
35684,[경기 양주] 스톤밸리 수영장,"장흥 관광지내에 위차하고 있으며, 아름다운 주변 경관을 바라보여 힐링하실 수 있는 에버그린 관광호텔입니다. 넓은 객실과 편안한 잠자리를 제공하며, 다양한 크기와 타입의 객실이 있어 가족, 친구들과 머무시기에 좋습니다. 송암스페이스, 시립미술관, 아트밸리, 송추계곡, 장흥아트파크 등 다양한 관광지가 주변에 있어 관광하시기에 좋습니다."
35685,[경북 경주] 소인국 디오라마월드,"작지만 큰 세상, 기차로 떠나는 세계여행~  움직이는 기차를 따라 펼쳐지는 꿈과 상상력의 공간, 기차와 함께 떠나는 세계 여행, 세계의 도시와 마을, 문화 유적지, 우주, 역사적 순간 등이 재현된 총 27개 테마를 경주소인국 디오라마월드에서 만나보세요."
35687,[강원 영월] 동강시스타 힐링스파,"순수한 자연 그대로의 스파 순수한 자연의 치유력을 만날 수 있는 스파시설은 웰빙 테라피, 건강형 테라피 등을 통해 자연과 함께하는 건강한 휴식을 약속 합니다."
35692,[충남 천안] 쥬쥬피아,"트릭아트, 4D라이더 등 예상 못 한 재미가 있는 천안 쥬쥬피아: 실내동물원  도심 속에서 특별한 동물 친구들을 만나보세요~ 살아있는 동물들과 직접 나누는 소통과 교감으로  생명의 소중함을 아이 스스로 배우는 인성교육의 장이랍니다   아이들의 눈길을 사로잡는 샌드아트, 마술쇼 등 퍼포먼스 공연을 놓치지 마세요  호기심을 자극해줄 3D 트릭아트는 물론, 로봇킹까지 다양하게 구성된 멀티조이시설을 만나보세요  아이들에게는 동물들과의 교감을 통한 정서 발달, 연인들에게는 데이트 장소, 가족에게는 나들이 장소가 되는 힐링공간 쥬쥬피아로 오세요~"
35696,[대구 달서] 엘리바덴 : 상인점,"몸과 마음의 휴식이 시작되는 대구 온천 엘리바덴입니다. 대구의 대표 브랜드 힐링 스파 '엘리바덴'은 지상낙원, 파라다이스, 지상의 행복 등을 뜻하는 영문 Elysium과 로마시대부터 유명하던 유럽 최대 온천 휴양지를 의미하는 Baden의 합성어로 지상에서 가장 이상적인 온천 휴양지를 뜻하며 온천수를 활용한 스파랜드로 가족 중심, 건강 체험형 Real 유황온천을 지향합니다.  엘리바덴 각 지점은 편리한 교통과 주차가 가능하며, 다양하고 재미있는 휴식공간과 맛있는 다양한 먹거리, 즐길거리가 풍성한 곳입니다.  엘리바덴은 새로운 문화를 전하고 세대를 아우르는 특별한 쉼터가 될 것입니다."
35697,[대구 달서] 엘리바덴 신월성점,"몸과 마음의 휴식이 시작되는 대구 온천 엘리바덴입니다. 대구의 대표 브랜드 힐링 스파 ""엘리바덴""은 지상낙원, 파라다이스, 지상의 행복 등을 뜻하는 영문 Elysium과 로마시대부터 유명하던 유럽 최대 온천 휴양지를 의미하는 Baden의 합성어로 지상에서 가장 이상적인 온천 휴양지를 뜻하며 온천수를 활용한 스파랜드로 가족 중심, 건강 체험형 Real 유황온천을 지향합니다.  엘리바덴 각 지점은 편리한 교통과 주차가 가능하며, 다양하고 재미있는 휴식공간과 맛있는 다양한 먹거리, 즐길거리가 풍성한 곳입니다.  엘리바덴은 새로운 문화를 전하고 세대를 아우르는 특별한 쉼터가 될 것입니다."
35700,[충북 충주] 라이트월드,
35702,[충북] 힐링투어패스 + 충주 라이트월드,총 13개 주요 관광지들을 자유롭게 관광할 수 있는 투어패스권과 라이트월드의 만남! 데이트는 물론 가족단위 여행으로도 제격이에요. 후회 1도없는 투어패스권으로 다함께 떠나보세요~
35706,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지,"자연과 동물과 사람이 만날 수 있는 행복한 곳, ""서울대공원""입니다. 호랑이 외에 천연기념물 산양,  일본원숭이 등등 300여종의 보호조치로 지정된 동식물들을 보유하고 있습니다.  세계 각국의 동물 친구들의 이야기를 보고 만날 수 있는 특별한 체험 공간으로 여러분을 초대합니다!"
35711,[경남 통영] 히어로스튜디오 통통 체험 테마파크,"통영에 영웅을 테마로 한 박물관이 있다?!  히어로 스튜디오 통통은 전시 위주의 박물관이 아닌 직접 참여하는 체험형 박물관입니다.  온 가족이 함께 즐겁게 웃고 행복한 시간을 보낼 수 있습니다. 가족, 친구, 연인 손 꼭 잡고 놀러오세요~"
35775,[대구 달성] 힐크레스트 : 에코 어드벤처,"자연 속에 위치한 에코 테마파크, 대구 힐크레스트를 소개합니다~ 도심속에서 힐링하기가 쉽지 않은 요즘, 대구에 등장했습니다. 자연공원에서 쌓인 스트레스를 날려 버리세요!"
35776,[대구 달성] 힐크레스트 특별 패키지,"자연 속에 위치한 에코 테마파크, 대구 힐크레스트를 소개합니다~ 도심속에서 힐링하기가 쉽지 않은 요즘, 대구에 등장했습니다. 자연공원에서 쌓인 스트레스를 날려 버리세요!"
35786,[경기 용인] 스카이패러글라이딩,"기상에 따라 직접 조종 체험도 할 수 있어요  용인 에버랜드 맞은편 용인 자연휴양림에서 2인승 패러글라이딩 체험비행 당일치기 가능 & 전문 조종사, 지도자 상주로 편안하고 안전하게 즐길 수 있습니다.  해 질 녘에는 붉게 퍼지는 석양을 감상하며 비행하는 낭만 기류에 따라 다양하게 체험할 수 있는 기회입니다."
35792,[경북 경산] 경산스파월드 워터파크 패키지,"경산 스파월드는 경산 온천지역 맥반석 지대의 중심에 위치하고 있어 정말 물이 좋습니다. 대형 온천급 사우나, 테마 찜질방, 불빛 축제장, 워터파크 및 실내 수영장 등등 다양한 부대시설을 겸비하고 있습니다."
35797,[전북 전주] 후크의성 워터파크,아이들이 좋아하는 미니 워터파크! 온가족이 함께 수영장+찜질방+사우나를 한곳에서 즐기로 오세요~
35805,[경기 부천] 야인시대 야외수영장,도심속에서 즐기는 신나는 물놀이 !  부천 야인시대 야외 수영장입니다.  취사 가능 및 삼산 체육관역에서 도보 4분 소요됩니다.
35808,[경북 울진] 덕구온천 스파월드 성수기 (7/20~8/20),"국내 단 한곳 밖에 없는 자연 용출온천 <덕구 스파월드> 뛰어난 수질을 자랑하고 42.2도의 약알카리 성분을 함유하고 있으며 신경통, 관절염, 근육통, 피부질환,당뇨병등 성인병에 뛰어난 효과가 있습니다. 최고의 쉼터가 될, 최고의 온천이 될 이곳에서 다양한 스파와 온천, 시설을 누려보세요."
35810,[경기 파주] 동화힐링캠프 수영장,파주의 조용한 산 속에 위치한 동화힐링캠프는 협곡의 모양을 그대로 살려 조성한 경기 북부의 최고의 휴식처입니다. 국내 최소의 호텔식 글램핑장과 야외 수영장이 준비 되어 있습니다. 여러분께 아룸다운 노래소리와 반딧불이가 비쳐주는 최고의 조명과 즐거움을 선사해 드리도록 하겠습니다!
35818,[경북 경주] 한국대중음악박물관,연인부터 가족까지 k-pop 100년 역사를 즐겨보세요~! 다양한 행사와 즐길거리가 가득한 음악박물관!!
35819,[경북 경주] 혼자수미술관,세계적인 자수작가의 혼을담은 자수를 한 자리에서 만나실 수 있습니다.  11명의 전/ 현직 대통령도 소장한 혼자수 작품!
35823,[경기 부천] 아인스워터월드 + 아인스월드 주간권 : 7/7 OPEN!,세계 유명 건축물을 미니어쳐 테마파크로 만들어서 아인스월드 관람까지 할 수 있습니다! 유아/청소년/성인 등 다양한 풀장비가 완비 되어 남녀 노소 즐거운 물놀이를 즐길 수 있습니다!~
35858,[서울 삼성] 코엑스 아쿠아리움 7월,물의 나라 코엑스 아쿠아리움에서 만나는 진기명기한 16가지 테마 현실세계는 잠시 뒤로 하고 멋진 수중세계로 떠나봅시다
35882,[경북 경산] 펀펀비치 워터파크 하이시즌,"스릴있게 미끄러지는 슬라이드와 200M 유수풀, 아이들을 위한 키즈존까지! 대프리카 폭염은 펀펀비치에서 시원하게 잡아보자!"
35893,[전남 순천] 순천만국가정원 스카이큐브 탑승권,순천만으로 날아가는 하늘의 택시를 타보셨나요? 스카이큐브는 PRT시스템으로 첨단 제어로 자동 무인 운전이 가능할 뿐만 아니라 유럽 안전인증을 획득함으로써 안정성 또한 뛰어납니다. 스카이 큐브를 이용하시면 동천과 주변의 아름다운 경치를 만끽 할 수 있어 목적지까지 편안하고 즐거운 여행을 하실 수 있습니다.
35895,[강원 강릉] 정동진패러마을,"산과 바다가 보이는 패러 글라이딩 '정동진 패러마을' 소개합니다~ 이륙장이 바람에 맞춰 5곳으로 준비되어 있고, 착륙장 또한 7곳이나 준비되어 있어 편하게 패러글라이딩을 즐길 수 있습니다.  또한 강릉 동해 전지역 픽업 가능하기에 가족,친구,연인,동료 등등 맞춤형으로 비행을 즐길 수 있답니다."
35899,[제주] 자유이용권 BIG2 1+1 : ★핫딜특가,"제주여행 가장 싸게 가는 방법 들어는 봤나요? 제주여행 자유 이용권!  제주여행 자유 이용권은 기획형 관광지 리스트, 대표상품 리스트, 관광지 리스트 등에서 관광지를 선택하여 저렴하게 가실 수 있습니다 그 밖에도 온라인 단독으로 진행하는 여러 혜택도 함께 만나보세요! 친구, 가족, 연인과 함께 제주여행 자유 이용권으로 즐겁고 행복한 여행이 되시길 바랍니다~"
35937,[서울 서초] 예술의전당 신카이마코토展 : ★핫딜특가,"애니메이션 <너의 이름은>의 감독으로 알려진 신카이 마코토의 그림展 입니다. 신카이 마코토의 데뷔 15주년을 기념한 전시로써, 월드 투어에 나선 아주 특별한 전시입니다. 대한민국 최고의 예술 공간에서 펼쳐지는 세계 최고의 애니메이션 감독의 작품 세계를 경험 해보세요!"
35940,[경기 가평] 양세찬과 함께하는 AK수상레저 : ★핫딜 1+1 특가,2017년 수상레저 대표라 불리던 ak수상레저가 더 넓어진 워터파크와 다양해진 놀이시설로 돌아왔어요. 오직 이번만 누릴 수 있는 50% 할인으로 만나보세요.
35986,[경북 경주] 경주 키덜트 뮤지엄,"아이부터 어른까지 흥미진진 재밌는 볼거리가 가득한 경주 키덜트 뮤지엄입니다! 경주의 관광명소로써, 희귀한 것들만 모두 모아 두었습니다~"
35990,[경기 김포] 버드몽 테마파크 : 야외수영장,"1년 365일 꾸준히 사랑을 받고 있는 김포 버드몽! 아이들의 친구 앵무새와 교감은 물론 원숭이, 앵무새, 라쿤, 토끼 등 동화 속 동물 친구들도 함께 만나볼 수 있어요!  뿐만 아니라, 아이들의 놀이 천국 키즈파크와 3D영상관, 잔디 썰매까지 모두 있어 아이들이 너무나도 좋아하는 곳이랍니다."
35992,냐냐,
35996,[서울 광진] 뚝섬 노을지는 한강카약,"WE ARE RUNNING ON THE WATER 물 위를 달리는 워터러닝을 즐겨보세요! TV 프로그램 <나혼자산다>에서 헨리가 탔던 체험으로 유명해졌으며, 전문적인 프로그램부터 쉬운 레포츠 까지 친절하고 전문강사들이 안전과 재미를 책임집니다. 한강에서만 즐길 수 있는 특별한 아름다움을 지금 바로 경험해보세요."
35997,[서울 마포] 나만의 천연자개 은반지 체험,"특별하고 이색적인 데이트를 준비하시는 커플분들 주목해주세요! 서로가 서로에게 전하는 쥬얼리 체험 프로그램으로써 기념일 또는 특별한 데이트를 즐길 수 있습니다. 직접 반지를 만듦으로써 사랑하는 사람과의 관계는 애틋하고, 잊지 못할 추억을 남길 수 있습니다. 여러분의 소중하고 특별한 추억을 만들어 보세요~"
35998,[서울 마포] 나만의 감성 네온사인 만들기 : 홍대점,감성에 NEON을 더하다 감성적인 문구로 마음을 심쿵~ 아름다운 불빛으로 또 한번 심쿵~ 네온 사인 하나로 감성 충전도 하고 특별한 추억을 만들어 보세요!
35999,[서울 강남] 나만의 감성 네온사인 만들기 : 강남점,감성에 NEON을 더하다 감성적인 문구로 마음을 심쿵~ 아름다운 불빛으로 또 한번 심쿵~ 네온 사인 하나로 감성 충전도 하고 특별한 추억을 만들어 보세요!
36000,[서울 용산] 앱솔루트 서울 펍크롤 : 이태원점,다양한 국적의 친구들과 함께 하는 멋진 이태원 파티! 매주 금요일에 이태원에서 가장 재미있고 핫한 파티로 여러분을 초대합니다! 특색있고 이색적인 경험! 외국인 친구들과 다양한 테마의 클럽과 바를 즐겨보세요.
36001,[서울 마포] 앱솔루트 서울 펍크롤 : 홍대점,다양한 국적의 친구들과 함께 하는 멋진 홍대 파티! 매주 금요일에 홍대에서 가장 재미있고 핫한 파티로 여러분을 초대합니다! 특색있고 이색적인 경험! 외국인 친구들과 다양한 테마의 클럽과 바를 즐겨보세요.
36002,[서울 성동] 힐링 만다라 다이닝 소품 5종,"만다라란 불교에서 수양을 위해 그리던 의식인데요. 깨달음의 경지를 도형화한 것을 말한답니다.  심리 치료 방법으로도 사용될 만큼 힐링이 되는 문양인 만다라! 이처럼, 보헤미안 감성을 듬뿍 담은 아름다운 만다라가 새겨진 나만의 다이닝 소품을 만들어 지친 심신을 달래보는 건 어떨까요?"
36003,[서울 강남] 한여름 밤의 꿈 생화 가득 센터피스 만들기,"나를 위한 향기로운 힐링의 시간이 필요하신 분들은 주목해주세요! 여름 한정 로맨틱 플라워 클래스에서 유럽감성 플라워를 함께 즐겨봐요. 일상에 지친 나를 위해, 또는 사랑하는 사람을 위한 소중한 선물을 해보세요!"
36004,[서울 마포] 보태니컬 사각접시 만들기,내 손으로 직접 만드는 핸드메이드 도자기의 매력에 푹 빠져보는 시간! 자연스러운 색감과 심플한 골드라인이 돋보이는 감각적인 보태니컬 사각접시. 다이닝부터 디저트까지 다양한 플레이팅이 가능해 효율적이랍니다. 자신만의 컬러배색으로 세상의 하나 뿐인 접시를 만들어보세요!
36005,[서울 용산] 내가 만드는 내 귀걸이,"귀걸이 사기만 해봤지, 직접 만들어 본 적은 없지 않나요? 누구나 쉽게 내 취향 가득 묻어있는 나만의 귀걸이를 만들 수 있습니다! 내가 원하는 재료만 골라서 블링블링~ 나를 주인공으로 만들어줄 예쁜 귀걸이를 제작해봐요!"
36006,[서울 관악] 폴댄스 초보반강습이용권,"연예인의 취미로만 느껴졌던 폴 댄스! 하지만, 배우고자 하는 열정만 있다면 누구나 쉽게 배울 수 있어요! 폴 댄스를 배우며 전신 운동 효과를 느껴보세요! 뿐만 아니라, 나 자신과의 대화를 통해 자존감을 회복할 수 있어요. 당신의 터닝 포인트가 될 수도 있는 폴댄스! 함께 배워봐요~"
36007,[서울 강남] 인스타 감성 터지는 꽃다발 만들기,북적북적하고 정신없는 도심에 지친 당신! 싱그러운 녹색의 향연으로 생명력이 가득한 숲 속의 스튜디오를 방문해보세요. 향기로운 생화로 꽃다발을 직접 만들며 지친 몸과 마음을 힐링하는 시간~ 인스타 감성처럼 고급진 꽃다발을 만들어 사랑하는 사람에게 선물해보세요!
36008,[서울 양천] 우리를 찾는 사진관,우리는 '나 자신'을 얼마나 잘 알고 있을까요? 혹시 바쁜 일상 속에서 잊고 산 것은 아닐까요? 우리를 찾는 사진관은 그저 사진만 찍는 평범한 사진관이 아니라 우리의 삶을 되돌아보는 공간입니다. '나'의 감정이나 생각을 이야기하는 자연스러운 모습들을 담은 의미있는 사진들을 찍어보세요.
36009,[서울 동작] 우리나라 전통현악기 가야금 배우기,취미로 가야금을 배우고 싶지만 어떻게 해야할 지 막막해 포기하신 적이 있나요? 여기 단 하루만 배워도 간단한 주법을 이용해 쉽고 재밌게 연주 할 수 있는 가야금 클래스가 있습니다. 색다른 데이트 코스로도 인기만점! 아름다운 가야금 소리로 힐링해보세요.
36010,[서울 홍대입구] 샹그리아와 뱅쇼 만들기,"신선한 과일로 샹그리아를 직접 만들어 보고 뱅쇼도 만드는 특별한 체험! 새콤달콤한 맛에 기분도 업! 한 번 배우면 이제 집에서 얼마든지 멋진 파티를 열 수 있어, 로맨틱한 분위기를 내고 싶을 때 제격이랍니다. 남들과는 다른 특별한 취미를 갖고 싶다면 꼭 신청하세요!"
36012,"[서울 마포] 꽃보다 예쁜 너, 플라워 클래스","신라호텔, 포시즌스 호텔 등 다양한 경력을 가진 센스와 실력을 모두 겸비한 두 호스트들이 여는 플라워 클래스입니다. 삶을 더욱 풍요롭게 디자인해주는 플라워 클래스에서는 일상생활에서 바로 활용할 수 있는 꿀팁도 알려드려요. 향긋한 꽃놀이를 하면서 즐거운 시간을 보내보세요!"
36013,[서울 송파] 펜싱 나도 할래,펜싱은 어렵다는 생각은 그만! 펜싱 관련 전문 자격증을 섭렵한 펜싱 전문 강사들이 모여있는 곳으로 남녀노소 누구나 쉽게 펜싱을 배울 수 있어요. 평소에 접할 수 없는 펜싱의 매력 속으로 빠지면 헤어나올 수 없을 걸요? 쌓여있던 스트레스도 풀고 운동도 하는 이색적인 체험!
36014,[서울 마포] 물고기 도자기 접시만들기,"신비로운 색감을 지닌 물고기 형태의 감각적인 접시! 어딘가 부족할 때 포인트를 줄 수 있는 메인 접시로 제격입니다. 기존에 접할 수 있는 도자기 수업과는 차별화 하여, 리브모아에서 자체 개발한 스프링클 기법을 사용한답니다. 우리집 테이블의 마스코트가 될 나만의 감성과 정성이 듬뿍 들어간 도자기를 만들어봐요."
36015,[서울 성북] 발레 레슨 for 비기너,슬림하고 탄력있는 바디라인을 갖고 싶으세요? 그렇다면 여기 19년 경력의 전문 강사가 진행하는 발레 레슨을 신청해보세요! 지겹고 힘들기만한 운동은 이제 그만! 즐겁게 운동하며 다이어트와 올바른 자세 교정까지 한 번에 할 수 있어요. 단 하루의 수업이라도 자세가 좋아지는 것이 바로 느껴질 거예요.
36016,[서울 송파] 술술 놀면서 수제 맥주 만들기,"맥주를 사랑하는 사람이라면 한번쯤 체험하기 좋은 수제 맥주 만들기 체험입니다.  5명의 브루어들과 함께 재미있는 교육을 들으며 수제 맥주를 만들어보세요. 나에게 딱 맞는 인생 맥주를 만들 수 있어요. 놀면서, 쉬면서 즐기기 좋은 시간이 될 거예요."
36018,[서울 신촌] 프리미엄 자몽청 만들기,"아직까지 과일청을 사서 드시나요? 어려워 보이기만 하던 자몽청을 직접 만들어 볼 수 있는 체험 프로그램입니다.  핸드메이드로 직접 만들어 건강도 챙기고, 평소 고마웠던 친구,연인,가족들에게 뜻깊은 선물을 선사하세요."
36019,[경기 수원] 취향 저격 캔들 클래스,"취향을 저격하는 인기 캔들을 만들어 볼 수 있어요. 소규모로 진행되어 더욱 재미있게 진행된답니다.  차, 다과와 함께 즐길 수 있고 힐링 수다는 덤이에요! 가격이 부담되셨던 분, 이색 취미를 가지고 싶으셨던 분, 공방창업을 앞두신 분등 캔들 만들기를 망설였던 분들에게 적극추천하는 클래스입니다."
