LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
853,[서울 중구] 남대문 실탄사격장,"현대인의 지긋지긋한 스트레스를 날려줄 사이다 같은 한방! < 남대문 실탄 사격장 > 이 서울 한복판에 떴습니다. (4호선 회현역 도보 약 6분) - 선택장애도 OK 다양한 총 앞에서 당황하지 마세요. 전문가가 나에게 맞는 기종 선택을 도와드립니다. - 초보자도 OK 낯설어도 걱정 말아요. 숙련된 조교가 기본자세부터 꼼꼼하게 가르쳐드립니다. - 무사고 OK 방탄복, 고글, 귀마개 등 장비 착용 + 1:1 안전교육 후 진행되니, 목숨 걸고 체험하세요. - 인증샷은 필수 촬영용 거치대 & 카메라가 설치되어 사격하는 내 모습을 영상으로 현장감 있게 담아낼 수 있습니다. - 기념품 증정 표적지는 기념이자 추억으로 가져가셔도 좋습니다. - 차 한잔의 여유 박진감 넘쳤던 게임이 끝나면 서로의 실력을 헐뜯으며 충분한 대화와 휴식을 가져보세요. 남대문 실탄사격장으로 스트레스 쏘러 가자고~"
972,[강원 강릉] 아라나비토종 짚라인 왕복권,"600M 바다 위 하늘길을 나는 익스트림 체험! 아라나비 토종 집라인  아름다운 바다 위를 나비처럼 훨훨 날고 싶다면  올여름 아라나비 집라인을 체험해 보세요.  안전교육을 받고 장비를 착용한 뒤, 힘차게 날아올라 바다를 향해 쭉 미끄러져 내려가는 집라인. 두근거리는 심장을 부여잡고 돌아보면 그제서야 보이는 주변 풍경들.  바다 위를 날 수 있다니 생각만 해도 설레실 거예요. 고대하던 여름휴가를 진부하게 보내지 말고 강릉 아라나비 짚라인으로 이색체험해 보시는 건 어떠세요?"
1021,[전북 전주] 한복길 한복대여,"한복 입고 걷는 아름다운 길 한복도 트렌드다!  매년, 새로운 콘셉의 의상을 선보여 2030에게 인기존인 한복길!  단아하고 수수한 스타일의 전통한복과 색감과 무늬가 화려한 테마 한복까지 다양하게 준비되어 있어 선택의 폭이 넓은데요. 그래서인지, 실제로 많은 사람이 직접 경험해보고 만족스러웠던 후기들도 많답니다 경기전, 전동성당 앞에 위치하여 한복 입고 관광하기에도 딱이에요.  일상복보단 한복이 잘 어울리는 한옥마을! 이왕이면 남들과 다른 의상으로 거리를 아름답게 빛내보세요."
1036,[서울 노원] 이창현 노원클라이밍센터,"재미 UP! 칼로리 DOWN! 떠오르는 다이어트!  요즘 스타들의 몸매 관리법으로 각광 받는 클라이밍을 아시나요? 평소 잠자고 있던 잔 근육을 사용해 칼로리 소모가 높아 다이어트에 효과적인 운동이랍니다  쉬운 코스부터 난코스까지 겸비해 누구나 즐길 수 있다는 게 매력이에요  강습은 세계선수권 4위(2013년)에 빛나는 국가대표가 직접 해주니 더 믿을 수 있겠죠?  중력을 거스르는 자, 탄탄한 몸매를 가질지니!  역세권에 위치해 접근성도 좋은 이창현 노원 클라이밍을 경험해보세요~~"
1090,[서울 상암] 코알라 클라이밍,"초보자 코스부터 굴곡 심한 전문코스까지! 도전하세요 실내 암벽등반 체험 코알라 클라이밍  전신 근력 운동에 탁월한 클라이밍! 누구나 쉽게 즐길 수 있는 실내 스포츠입니다 처음이라도 괜찮아요. 친절한 강사님이 자세부터, 이동방법, 움직임까지 세심하게 강습해주신답니다 초보자들을 위한 난이도 하 코스부터 실력자들을 위한 난이도 상 고급코스까지 준비되어있어요  이벤트나 다양한 정보를 얻을 수 있는 인포메이션, 샤워실, 탈의실, 클라이밍 장비를 구매할 수 있는 상점까지! 코알라 클라이밍 안에 다양한 부대시설들도 이용해보세요~"
1091,[서울 종로] 경복궁 한복대여 한복남,"※ 코로나로 인해 휴관될 수 있으니 매장에 문의 전화부탁드립니다.    16년 오픈한 한복 대여점, 종로 한복남 경복궁 한복대여  깨끗한 디자인의 한복을 차려입고 이색 고궁 나들이! 우리가 미처 몰랐던 서울의 아름다움을 발견하세요!  한복 입혀주는 남자 '한복남'은 여러분에게  가장 한국적인 아름다운 옷을 입혀드리며 평생 간직하고 싶은 사진을 찍어드리며 미처 몰랐던 한국의 재미있는 모습을 보여드립니다  왜 한복남이어야 할까요?  -4월에 신규 오픈하여 한복이 모두 깨끗하니까!   손때 타지 않은 A급 새 한복 남녀 300여 벌 준비  -서울 역사문화 관광지 중심에 위치하니까!   경복궁, 북촌한옥마을, 인사동 모두 5분 거리에 인접  -고객 편의를 생각한 150평 규모의 매장이니까!   물품보관소, 탈의실, 헤어메이크업실, 스튜디오, 휴게실 등 완비  100여 가지 디자인 한복을 갖춘 한복남에서 쇼핑하듯 골라 입어보세요."
1116,[경기 일산] 원마운트 아이봇,"산들산들 바람을 즐기며 호수공원 한 바퀴   호수공원에서 원마운트 아이봇과 함께 해보세요. 전동휠, 전동킥보드, 투휠보드, 나인봇미니  중 원하는 것을 택하고, 짜릿한 주행을 즐길 수 있습니다.  누구나 쉽게 즐길 수 있는 야외 레저 원마운트 아이봇! 아이봇의 매력 속으로 빠져봅시다."
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드","한강 나들이 새롭게 시작해 봅시다.  신개념 에코 레포츠  전동휠, 전동 킥보드, 전동 스케이트보드, 투휠보드, 외발휠 5가지 자유이용 원하는 아이봇을 택하여 짜릿한 질주를 해보세요. 누구나 쉽게 타고 즐길 수 있습니다. 아이봇의 매려으로 다같이 빠져 볼 까요?"
6669,[전남 여수] 카트 체험장,"실사판 카트라이더 즐겨보세요.  도로지면과 밀착하여 주행하기 때문에 더욱 생생한 속도감을 느낄 수 있습니다. 체감속도 70km/h로 달리는 카트의 속도감, 급커브 구간을 즐겨보세요. 10명이상의 단체 이용이 가능합니다.  시원하게 바람을 가르며 달리는 카트 지금 바로 실력을 뽐내 보세요."
11096,[서울 홍대] 반지카페 : 반지만들기 체험,
11439,[전남 여수] 국가대표 패러글라이딩,"공인 자격증을 갖춘 전문 강사진과 함께 안전하게 즐기는 패러글라이딩 체험  산과 바다가 어우러진 수려한 자연결경을 하늘 높은 곳에서 한눈에 담아볼 수 있습니다. 취향에 따라 다양한 코스들을 체험자가 직접 핸들링 할 수도 있어요. 사진, 동영상, 이벤트 등 다양한 서비스도 제공하고 있습니다."
11455,[서울 종로] MES 방탈출카페,"제한시간 60분, 흩어진 단서를 모으고 추리하여 방을 탈출해야 합니다.  7가지 테마를 갖춘 MES 방 탈출 카페. 오프라인 방 탈출 카페 끝판왕 메스에서 여러분을 기다리고 있습니다. 다양한 테마룸에서 이색적인 경험을 해보세요."
11516,[충북 단양]패러마을 패러글라이딩,
11528,[서울 동대문] 한복 웨딩카페,"한복은 물론 웨딩 드레스도 입어보세요.  한복을 입고 떠나는 시간여행,  아름다운 곳에서 예쁜 한복을 입고,  궁궐 속 공주, 황진이 테마를 선택하여,  이색적인 사진도 찍고,  색다른 추억까지 남기세요."
11542,[강원 강릉] 환희 컵 : 이색박물관,"영국 여왕이 썼던 커피 잔 보러 오세요  전 세계 희귀 컵 전시! 세계 다양한 컵 전시장, 앤티크 잔으로 커피 마시고, 컵 만들기 체험까지 색다른 경험을 할 수 있습니다. 산책로, 3D 증강현실 등 다양한 부대시설이 있습니다."
