LSR_GOODS_CD,LSR_GOODS_NM,LSR_MAIN_THUMB_URL,LSR_DETAIL_IMAGE_URL
853,[서울 중구] 남대문 실탄사격장,https://image6.yanolja.com/leisure/r9cxvFeDWkCJFgHf,"[https://image6.yanolja.com/leisure/Xwieb0jlEKah7dh5, https://image6.yanolja.com/leisure/1Y4l1nKwK1My3rdG, https://image6.yanolja.com/leisure/HQO3AkVN7Su3Q6qh, https://image6.yanolja.com/leisure/i3ZL7n3peEh3WoBv, https://image6.yanolja.com/leisure/PRL0fmo3YTs20j0i, https://image6.yanolja.com/leisure/XfGJuG3t7wn6nZct]"
972,[강원 강릉] 아라나비토종 짚라인 왕복권,https://image6.yanolja.com/leisure/46wckr0eJpisUjO3,"[https://image6.yanolja.com/leisure/juD7f3akZ59kJXNN, https://image6.yanolja.com/leisure/MQ9aFYnIb1WSm23q, https://image6.yanolja.com/leisure/aPtVXGTiFC5GPDE0, https://image6.yanolja.com/leisure/HN2D1mlLL61IMrym, https://image6.yanolja.com/leisure/aX2DJQjOh0tu2eTt]"
1021,[전북 전주] 한복길 한복대여,https://image6.yanolja.com/leisure/DxWHVuag8wIJn1wA,"[https://image6.yanolja.com/leisure/DxWHVuag8wIJn1wA, https://image6.yanolja.com/leisure/ixlZe9SecEU3wvW0, https://image6.yanolja.com/leisure/e3Q6hS8DnPlA0qPm, https://image6.yanolja.com/leisure/jSYDYPWMXJWCjbFB, https://image6.yanolja.com/leisure/Qo11kBLCI58FFA4K, https://image6.yanolja.com/leisure/MHQhaEBj5mtxDb0Y, https://image6.yanolja.com/leisure/xq6dsezWAfqLxHav, https://image6.yanolja.com/leisure/i2tdDBriCOEri9QZ, https://image6.yanolja.com/leisure/DOYZrlvkBX40t3Cp]"
1036,[서울 노원] 이창현 노원클라이밍센터,https://image6.yanolja.com/leisure/0WWjwNwEqSv5dL4L,"[https://image6.yanolja.com/leisure/HpUuDL8QwneFZb7R, https://image6.yanolja.com/leisure/UKWVnLSME4P5oPvy, https://image6.yanolja.com/leisure/9PKFXA3pWl85amqP, https://image6.yanolja.com/leisure/LQYhLAFJeQi4Ox1X, https://image6.yanolja.com/leisure/qKAxMLc1YAtUVUS7]"
1090,[서울 상암] 코알라 클라이밍,https://image6.yanolja.com/leisure/8F188qQkZKlgchjh,"[https://image6.yanolja.com/leisure/oMY1A6Wy9qREm0O4, https://image6.yanolja.com/leisure/mOmvfUtMgiFu3gUq, https://image6.yanolja.com/leisure/bBGHfSO2vI5XUjKp, https://image6.yanolja.com/leisure/3VmJ8wynrbd6ZKk6, https://image6.yanolja.com/leisure/sML4nV4MoYDWgz6X]"
1091,[서울 종로] 경복궁 한복대여 한복남,https://image6.yanolja.com/leisure/zTJEUfq60JHdZZ4T,[https://image6.yanolja.com/leisure/CWXDlLFkAGD9BPPh]
1116,[경기 일산] 원마운트 아이봇,https://image6.yanolja.com/leisure/2Gouu7yKsHsy2CY1,"[https://image6.yanolja.com/leisure/xGO7L2IYBhrdrDkJ, https://image6.yanolja.com/leisure/irpmuKLmavBc3gb8, https://image6.yanolja.com/leisure/aYwwmG5gwltikA5O, https://image6.yanolja.com/leisure/px9aZCX2TsjehyRC, https://image6.yanolja.com/leisure/ReGrm4L9qVt9FDG5, https://image6.yanolja.com/leisure/srCBjIrAQjY358id]"
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드",https://image6.yanolja.com/leisure/XTMvZmvkxUszVJlT,"[https://image6.yanolja.com/leisure/xGO7L2IYBhrdrDkJ, https://image6.yanolja.com/leisure/irpmuKLmavBc3gb8, https://image6.yanolja.com/leisure/aYwwmG5gwltikA5O, https://image6.yanolja.com/leisure/px9aZCX2TsjehyRC, https://image6.yanolja.com/leisure/ReGrm4L9qVt9FDG5, https://image6.yanolja.com/leisure/srCBjIrAQjY358id]"
6669,[전남 여수] 카트 체험장,https://image6.yanolja.com/leisure/BbbbMMsKCTgXtVoC,"[https://image6.yanolja.com/leisure/WNrnCjtC4DuM1HED, https://image6.yanolja.com/leisure/P4oH1naZU0bMd0UI, https://image6.yanolja.com/leisure/W7sSEG9JRV8U96S0, https://image6.yanolja.com/leisure/UyAtpe06HomPLogL, https://image6.yanolja.com/leisure/4lmBJdKguk7GtpKI]"
11096,[서울 홍대] 반지카페 : 반지만들기 체험,https://image6.yanolja.com/leisure/HQlcxahEW400v0fc,"[https://image6.yanolja.com/leisure/yR9e5qxfpBYuLhFs, https://image6.yanolja.com/leisure/9gyo1L1ct85RRoHW, https://image6.yanolja.com/leisure/bgKmNlOpgHWAlh1y, https://image6.yanolja.com/leisure/xAY2xz4ijUrtfQIX, https://image6.yanolja.com/leisure/hMbUAejqrH3Zrhxe]"
11439,[전남 여수] 국가대표 패러글라이딩,https://image6.yanolja.com/leisure/Dc7OQyPgR17eeYUF,"[https://image6.yanolja.com/leisure/W7SwDFzOlYFQJSp8, https://image6.yanolja.com/leisure/ZvVFsm974Mx9Qf5R, https://image6.yanolja.com/leisure/qIOfNflpvOFtXkkU, https://image6.yanolja.com/leisure/mSnLpEv1N3HVw3m6, https://image6.yanolja.com/leisure/Dc7OQyPgR17eeYUF]"
11455,[서울 종로] MES 방탈출카페,https://image6.yanolja.com/leisure/1IqsHe1vZUMWBMK8,[https://image6.yanolja.com/leisure/0QmoaFS3ehc0eq5z]
