LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_ROAD_NM_ADDR
35997,[서울 마포] 나만의 천연자개 은반지 체험,서울 마포구 어울마당로5길 42-5
35998,[서울 마포] 나만의 감성 네온사인 만들기 : 홍대점,서울 마포구 와우산로21길 19-19
35999,[서울 강남] 나만의 감성 네온사인 만들기 : 강남점,서울 강남구 테헤란로 101
36000,[서울 용산] 앱솔루트 서울 펍크롤 : 이태원점,서울 용산구 이태원로 173-7
36001,[서울 마포] 앱솔루트 서울 펍크롤 : 홍대점,서울 마포구 잔다리로2길 19
36002,[서울 성동] 힐링 만다라 다이닝 소품 5종,서울 성동구 상원1길 33
36003,[서울 강남] 한여름 밤의 꿈 생화 가득 센터피스 만들기,서울 강남구 봉은사로68길 23
36004,[서울 마포] 보태니컬 사각접시 만들기,서울 마포구 토정로25길 31
36005,[서울 용산] 내가 만드는 내 귀걸이,서울 용산구 우사단로10길 63
36006,[서울 관악] 폴댄스 초보반강습이용권,서울 관악구 남현1길 20
36007,[서울 강남] 인스타 감성 터지는 꽃다발 만들기,서울 강남구 봉은사로68길 23
36008,[서울 양천] 우리를 찾는 사진관,서울 양천구 목동로11길 7
36009,[서울 동작] 우리나라 전통현악기 가야금 배우기,서울 동작구 사당로14길 32
36010,[서울 홍대입구] 샹그리아와 뱅쇼 만들기,서울 마포구 신촌로4길 5-18
36012,"[서울 마포] 꽃보다 예쁜 너, 플라워 클래스",서울 마포구 성미산로29안길 11
36013,[서울 송파] 펜싱 나도 할래,서울 송파구 삼전로8길 9
36014,[서울 마포] 물고기 도자기 접시만들기,서울 마포구 토정로25길 31
36015,[서울 성북] 발레 레슨 for 비기너,서울 성북구 삼선교로6길 10
36016,[서울 송파] 술술 놀면서 수제 맥주 만들기,서울 송파구 백제고분로 243
36018,[서울 신촌] 프리미엄 자몽청 만들기,서울 마포구 신촌로4길 5-18
36019,[경기 수원] 취향 저격 캔들 클래스,경기 수원시 팔달구 덕영대로 899
36020,[서울 중구] 감성 필름사진 암실 클래스,서울 중구 을지로14길 19-5
36021,[경기 성남] 핸드페인팅 도자기 만들기,경기 성남시 수정구 위례서일로1길 3
36023,[서울 용산] 직접 만드는 가죽 여권케이스,서울 용산구 보광로 93
36024,[서울 용산] 가죽공예 핸드메이드 나뭇잎북마크,서울 용산구 보광로 93
36025,[서울 광진] LIFEWORK 청년 워크숍,서울 광진구 광장로 78
36027,[서울 서초] 주말 왕초보 방송 댄스반,서울 서초구 효령로34길 76
36029,[서울 잠실] 롯데월드 자유이용권 + 햄버거,서울 송파구 올림픽로 240
36030,[서울 잠실] 롯데월드 자유이용권 + VR 체험,서울 송파구 올림픽로 240
36031,[서울 잠실] 롯데월드 자유이용권 + 롯데뮤지엄,서울 송파구 올림픽로 240
36033,[경기 부천] 아인스워터월드+아인스월드+골드러시 뷔페,경기 부천시 도약로 1
36034,[전남 여수] 디오션 워터파크 이용권 : 핫시즌Ⅰ,전남 여수시 소호로 295
36039,[전남 여수] 디오션 워터파크 이용권 : 핫시즌Ⅱ(7/27~8/5),전남 여수시 소호로 295
36041,[경기 부천] 아인스월드 + 골드러시 뷔페,경기 부천시 도약로 1
36045,[충남 아산] 파라다이스 스파 도고 성수기 입장권,충남 아산시 도고면 도고온천로 176
36048,[강원 평창] 대관령 삼양목장,강원 평창군 대관령면 꽃밭양지길 708-9
36049,[충남 천안] 상록 아쿠아피아 종일/오후권 : 하이시즌(7/28~8/5),충남 천안시 동남구 수신면 수신로 576
36050,[경기 부천] ★ 플레이아쿠아리움 연간회원권 사전판매 : 베네피아 전용,경기 부천시 조마루로 2
36051,[충북 제천] 제천 짚트랙 + 산악체험,충북 제천시 금성면 청풍호로39길 100
36052,[충남 천안] 상록아쿠아피아 종일권 미들시즌,충남 천안시 동남구 수신면 수신로 576
36053,[강원 춘천] 루비코니 집라인,강원 춘천시 신동면 김유정로 1383
36056,[전북 전주] 얼티밋 뮤직 페스티벌 JUMF,전북 전주시 덕진구 기린대로 451
36057,[강원 홍천] 오션월드 종일권 + 구명조끼 무료 : ★핫딜특가,강원 홍천군 서면 한치골길 262
36059,[경북 울진] 덕구온천 스파월드,경북 울진군 북면 덕구온천로 924
36061,[강원 속초] 설악워터피아 로우시즌 종일권,강원 속초시 미시령로2983번길 111
36062,[경기 가평] 텐클럽수상레저,강원 춘천시 남산면 서천리 658
36063,[서울 구로] 낚시구역 낚시카페,서울 구로구 경인로35길 56
36064,[서울 잠실] 롯데월드 아쿠아리움 7월,서울 송파구 올림픽로 300
36067,[서울 여의도] 다타텐트,서울 영등포구 여의도동 21-3
36068,[전남 화순] 금호리조트 아쿠아나 골드시즌,전남 화순군 북면 옥리길 14-21
36069,[강원 원주] 간현 레일바이크,강원 원주시 지정면 간현로 163
36073,[경기 일산] 원마운트 워터파크 특가,경기 고양시 일산서구 한류월드로 300
36078,[경기 가평] 까사 32 풀파티,경기 가평군 설악면 유명로 2384
36083,[경기 부천] ★ 플레이아쿠아리움 연간회원권 사전판매 : 키즈노트 전용,경기 부천시 조마루로 2
36084,[제주 서귀포] 해양 레저파크,제주특별자치도 서귀포시 예래해안로 20
36085,[경기 파주] 메디테리움 의학박물관,경기 파주시 회동길 338
36086,[서울 여의도] 아이봇 피크닉,서울 영등포구 여의도동 21-3
36088,[서울 강남] 전시 위대한낙서展 : OBEY THE MOVEMENT,서울 강남구 선릉로 807
36089,[경남 하동] 레일바이크,경남 하동군 북천면 경서대로 2446-6
36105,[경기 가평] 2018 레드존 풀파티,경기 가평군 가평읍 북한강변로 360-69
36106,[경기 과천] 서울랜드 BIG5 + 야외풀장 패키지 (7/16~8/19),경기 과천시 광명로 181
36107,[경기 과천] 서울랜드 BIG5 + AR안전체험관 패키지 (7/16~8/19),경기 과천시 광명로 181
36108,[경기 가평] 캠프통아일랜드 수상레저 1인권,경기 가평군 청평면 호반로 976
36109,[경기 용인] 한택식물원,경기 용인시 처인구 백암면 한택로 2
36111,[서울 강남] 피규어뮤지엄 W(키덜트),서울 강남구 청담동 84-9
36112,[서울 용산] 은하철도999 갤럭시 오디세이展,서울 용산구 청파로 100
36113,[속초/서울] 에코다이버스 1박2일 스쿠버다이빙 자격증 코스,강원 속초시 철새길 106
36116,[인천 송도] 인스타지아 거울정원,인천 연수구 센트럴로 263
36118,[강남/명동/동대문/잠실/서면/광주/부산] 레전드히어로즈 7개지점 : ★핫딜특가,서울 서초구 서초대로73길 12
36125,[서울 성수]  하이 아이스크림전 : ★핫딜특가,서울 성동구 연무장15길 11
36131,[경기 용인] 에버랜드 슈퍼워터건 패키지,경기 용인시 처인구 포곡읍 에버랜드로 199
36132,[경기 용인] 에버랜드 썸머워터펀 이용권,경기 용인시 처인구 포곡읍 에버랜드로 199
36133,[경기 용인] 캐리비안베이 골드시즌 종일이용권,경기 용인시 처인구 포곡읍 에버랜드로 199
36135,[경남 양산] 에덴벨리 워터파크,경남 양산시 원동면 어실로 1206
36138,[경남 고성] 블루웨일 워터파크,경남 고성군 삼산면 두포5길 113-139
36141,[경기 부천] 웅진 플레이도시 디지털키즈카페 플랜디,경기 부천시 조마루로 2
36142,[전남 여수] 테디베어뮤지엄,전남 여수시 박람회길 1
36277,[제주 구좌] 제주이야기 천연화장품 만들기 체험,제주특별자치도 제주시 구좌읍 행원로13길 67
36278,[제주 서귀포시] 우석촌 흑돼지 정식,제주특별자치도 서귀포시 중산간서로 186
36280,[경기 부천] 아인스월드 세계테마파크 주간권,경기 부천시 도약로 1
36283,[제주 제주시] 레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47
36284,[제주 서귀포시]우도 월드제트보트,제주특별자치도 서귀포시 성산읍 성산등용로 112-7
36285,[제주 제주시]한울랜드,제주특별자치도 제주시 구좌읍 동백로 458
36287,[제주 제주시] 비체올린 힐링카약,제주특별자치도 제주시 한경면 판조로 253-6
36288,[제주 제주시] 고산 주간배낚시,제주특별자치도 제주시 한경면 노을해안로 1267
36292,[경기 이천] 별빛정원 우주 ★핫딜특가,경기 이천시 마장면 덕이로154번길 287-76
36289,"[제주 제주시] 라마다프라자 더블루 뷔페/운영시간기입할것,소셜이미지 날짜 다시확읺 후 기입할것",제주특별자치도 제주시 탑동로 66
36293,[경기 가평] 2018 레드존 풀파티 ★핫딜특가,경기 가평군 가평읍 북한강변로 360-69
36301,[제주 서귀포시]조랑말타운 승마카트,제주특별자치도 서귀포시 표선면 번영로 2486
36302,[제주 서귀포시]우도선상낚시,제주특별자치도 서귀포시 성산읍 성산등용로 112-7
19,[전북 전주]말순이 : 한옥마을 한복대여권,전북 전주시 완산구 은행로 54-1
