LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
11516,[충북 단양]패러마을 패러글라이딩,"• 미사용티켓 환불 가능  • 유효기간 이후 미사용티켓 환불 가능  • 사용한 티켓 환불 불가    [티켓 예약시]  • 해당상품은 전화 예약시 사용처리됩니다.  • 예약 후 취소를 원하시면 야놀자 고객센터 1644-1346으로 연락 바랍니다.   * 예약 4일전 까지 100% 환불   * 예약 3일전 까지 90% 환불   * 예약 2일전 까지 70% 환불   * 예약 1일전 까지 50% 환불   * 이용일 당일 미사용시(No Show) 환불불가   * 당일취소 및 시간 내 출발지에 없을 경우에 환불이 불가능 합니다. 단, 사전 연락이 된 경우 연기가 가능합니다.  • 예약 취소는 근무시간(09:00~17:00)에만 가능합니다. 즉, 사무실 근무시간 이후의 연락은 다음날로 인정합니다.  • 기상악화로 인해 이용 못하실 경우 전액 환불 가능합니다."
11528,[서울 동대문] 한복 웨딩카페,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 티켓 예약시 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 이용일 1일전 까지 100%환불 가능    * 이용일 당일 미사용시(No Show) 환불불가
11542,[강원 강릉] 환희 컵 : 이색박물관,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 패키지 상품은 부분 이용 및 부분 환불이 불가합니다.
11651,[강원 평창] 조나단 패러글라이딩,"• 미사용티켓 환불 가능  • 유효기간 이후 미사용티켓 환불 가능  • 사용한 티켓 환불 불가    [티켓 예약시]  • 해당상품은 전화 예약시 티켓 사용처리됩니다.  • 예약 후 취소를 원하시면 야놀자 고객센터 1644-1346으로 연락 바랍니다.   * 이용일 1일전 까지 100% 환불 가능   * 이용일 당일 미사용시(No Show) 환불불가   * 단, 당일 기상악화로 인한 비행취소시 전액환불 가능"
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 이용시간 3시간 전까지 100%환불 가능
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
12975,[전북 부안] 원숭이학교 & 자연사박물관,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
13395,[서울 홍대] 심신프리카페 : 마사지,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 최대 7일 이내 취소 확정 여부를 확인 드립니다.  * PKG상품 부분환불 불가
13507,[경기 김포] 김포 곤충농장,"• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 100% 환불가능 • 사용한 티켓은 환불 불가능합니다. • 부분취소/부분환불 불가능합니다."""
13936,[충남 대천] 짚트랙,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
13957,[인천 남동] 그레이트피그미풀 키즈파크,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 최대 7일 이내 취소 확정 여부를 확인 드립니다.
18909,[서울 강남] 피규어뮤지엄 W,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
