LSR_GOODS_CD,LSR_GOODS_NM,SLE_STATE_DC
41955,[강원 춘천] 엘리시안 강촌 18/19 스키리프트권 비수기,STOP
41956,[제주 애월] 불빛정원 ★카카오내비 특가,STOP
41957,[제주 제주시] 러브랜드 ★카카오내비 특가,STOP
41959,[경기 김포] 버드몽 테마파크 동물체험장,STOP
41960,[대구 달서] 이월드 83타워 아이스링크 PKG 2월,STOP
41961,[전북 완주] 꿈꾸는 아이 직업체험장,STOP
41962,[경남 김해] 롯데워터파크 종일권,STOP
41964,[서울/경기出] 거제 지심도동백꽃+해금강일출&공곶이수선화 ★무박여행,STOP
41966,[서울 성동] 르누아르 展 +슈가플래닛PKG ★전시,STOP
41969,[서울 서대문구] 신촌 더 사뿐 : 커플마사지&아로마테라피,STOP
41970,[강원 홍천] 대명 비발디파크 스노위랜드 주중권,STOP
41971,[경기 용인] 캐리비안베이 종일 이용권,STOP
41973,[강원 평창] 휘닉스평창 18/19 S시즌권 1차,STOP
41974,[경기 부천] 웅진플레이도시 뽀로로 플레이파크 눈썰매장 2월,STOP
41975,[경기 부천] 웅진 뽀로로 플레이파크 눈썰매장 1타임+플랜디 2시간,STOP
41976,[경기 부천] 웅진플레이도시 워터파크 하이시즌 2월,STOP
41977,[서울 마포] 연극 당신이주인공 2월★공연,STOP
41978,[경기 안산] 미스터힐링 : 힐링카페 안산중앙역점★,STOP
41979,[경기 안양] 미스터힐링 : 힐링카페,STOP
41980,[경기 부천] 웅진플레이도시 스키&보드 1타임권,STOP
41981,[강원 영월] 동강시스타 힐링스파,STOP
41982,[강원 평창] 휘닉스평창 18/19시즌 리프트권+왕복 버스PKG,STOP
41983,[경북 경주] 블루원 워터파크★토특가,STOP
41984,[경기 의정부] 아일랜드캐슬 찜질방(바데풀),STOP
41985,[서울 강남] 헤븐리 29 : 힐링카페,STOP
41986,[부산 해운대] 부산 아쿠아리움 커플권,STOP
41988,[대구 달서] 이월드 2월 익스트림판타지 자유이용권,STOP
41994,[경남 거제] 거제 지심도 + 동피랑 벽화마을(조식제공) ★ 당일여행,STOP
41995,[서울 영등포] 씨랄라 워터파크,STOP
41996,[경기 용인] 미스터힐링 용인 4개지점,STOP
41997,[경기 의정부] 미스터힐링 : 힐링카페,STOP
41998,[경기 과천] 서울랜드 연간회원권,STOP
41999,[경기 이천] 미스터힐링 이천중앙점★황금연휴,STOP
42000,[서울 서초] 이매진 존레논展★전시,STOP
42001,[충남 태안] 얼리버드 2019세계튤립축제,STOP
42002,[충남 태안] 얼리버드 2019 태안 수선화축제,STOP
42003,[대구 달서] 이월드 2월자유이용권  익스트림 코스터 축제  ★카카오내비 특가,STOP
42004,[부산 남구] 캠프VR 경성대점,STOP
42005,[서울 잠실] 롯데월드몰 VR퓨처시네마 영화관,STOP
42006,[서울 신촌] 신촌 꾼낚시카페 시즌2,STOP
42007,[부산] 키자니아 어린이 체험테마파크,STOP
42008,[전남] 여수투어패스 (스카이타워 외 3곳),STOP
42009,[경기 용인] 에버랜드 종일/오후권,STOP
42010,[경기 용인] 에버랜드 콩그레듀에이션 (종일권+큐패스+럭키코인),STOP
42011,[경기 수원] 대물 실내낚시터,STOP
42012,[경북 경산] 용암웰빙스파 다회권,STOP
42013,[대구 달서] 이월드 커플 자유이용권,STOP
42014,[경북 청도] 용암온천 이용권 + 빛축제 PKG,STOP
42015,"[충남 태안] 2019  당신의밤, 태안빛축제",STOP
42016,[경북 청도] 용암온천 이용권 + 빛축제 PKG ★설특가,STOP
42017,[경기 일산] 원마운트 워터파크 종일권 2월,STOP
42018,[경북 경산] 경산용암 웰빙스파,STOP
42019,[경북 경산] 경산용암 웰빙스파 ★설특가,STOP
42020,[경기 일산] 원마운트 워터파크 종일권 1+1 특가,STOP
42022,[경기 일산] 원마운트 스노우파크 종일권 2월,STOP
42028,[전남 여수] 여수 테디베어 뮤지엄,STOP
42029,[서울 종로] 마녀정원  展,STOP
42030,[경기 평택] 미스터힐링 : 힐링카페,STOP
42031,[경기 고양] 캠프VR 일산신원점,STOP
42032,[경기 일산] 원마운트 워터파크 종일권 2+1 특가,STOP
42033,[경기 일산] 원마운트 스노우파크 소인권 특가,STOP
42034,[경기 일산] 원마운트 스노우파크 종일권 특가,STOP
42035,[경기 용인] 하이온VR 기흥점,STOP
42036,"[경북 안동] 합시다 여행, 나랑같이~ 안동여행 ★1박여행",STOP
42038,[경기 화성] 미스터힐링 동탄역점,STOP
42039,[인천 연수] 미스터힐링 송도스마트밸리점 / 인천송도점,STOP
42040,[인천 남구] 미스터힐링 인천 주안점,STOP
42044,[제주 서귀포] 유람선 : 투어관광,STOP
42047,[제주 제주시] 난타공연 : 이색공연,STOP
42054,[충남 태안] 안면도 투어패스 (코리아플라워파크-빛축제 외 1곳),STOP
42059,[경기 용인] 캐리비안베이 종일/오후권 + 락카,STOP
42060,"[경기 용인] 캐리비안베이 2,3인권+실내락카",STOP
42061,[서울 종로] 로맨틱코미디 연극 한뼘사이,STOP
42062,[경기 의정부] 아일랜드캐슬 스파 워터파크★임팩트딜,STOP
42063,[경기 용인] 에버랜드 종일권 ★임팩트딜,STOP
42064,[경기 용인] 에버랜드 종일권★2월14일 오직 이 날만!,STOP
42065,[서울 종로] 대학로 라이어 1탄 2월★연극,STOP
42066,[경북 경주] 라마다 호텔&리조트 경주 스파,STOP
42067,[충남 태안] 2019 코리아 플라워파크 빛축제,STOP
42068,[대구 달서] 이월드 연간회원권 2월,STOP
42069,[강원 춘천] 미스터힐링 운교점 / 석사점★황금연휴,STOP
42070,[강원 원주] 미스터힐링 원주점★황금연휴,STOP
42071,[경기 부천] 플레이아쿠아리움 식사 PKG,STOP
42072,[인천 서구] 미스터힐링 검단역점,STOP
42073,[인천 남동] 미스터힐링 구월점/ 인천논현점,STOP
42074,[강원 평창] 휘닉스평창 19시즌 리프트권 PKG★리프트권_휘닉스파크,STOP
42075,[인천 부평] 미스터힐링 부평역점,STOP
42082,[충남 천안] 상록리조트 놀이동산 BIG6 주말 및 공휴일 이용권,STOP
42085,[대전 동구] 미스터힐링 CGV 대전터미널점 ★황금연휴,STOP
42088,[대전 서구] 미스터힐링 대전시청점,STOP
42089,[제주 서귀포] 미스터힐링 서귀포중문점,STOP
42092,[제주 제주시] 미스터힐링 제주시청점 / 제주CGV노형점,STOP
42093,[충남 천안] 상록리조트 놀이동산 주말 및 공휴일 자유이용권,STOP
42094,[서울 강서] 코코몽 키즈랜드 강서점,STOP
42096,[서울 종로] 극적인하룻밤 2월★공연,STOP
42102,[경기 남양주] 코코몽팜빌리지 & 교통안전체험교육관,STOP
42104,[제주 애월] 판타지월드,STOP
42105,[전남 광양] 와인동굴,STOP
42107,[광주 북구] 코코몽 키즈랜드 광주역점,STOP
42110,[충남 금산] 금산 한방스파&호텔,STOP
42113,[서울출발] 봄꽃대전 1탄! 광양매화or구례산수유 기차여행(무박) ★당일여행,STOP
42115,[서울/경기出] 봄꽃 여행의 시작 광양매화축제(조식제공) ★당일여행,STOP
42124,[대전 중구] 코코몽 키즈랜드 대전 중앙로점,STOP
42133,[대전 유성] 미스터힐링 테크노밸리점★황금연휴,STOP
42135,[전남 여수] 미스터힐링 여수 2개 지점 :학동점 / 이순신점★황금연휴,STOP
42136,[전남 여수] 여수 엑스포 기념관,STOP
42149,[전남 광양] 2019광양매화+구례산수유 무박여행,STOP
42153,[충남 천안] 미스터힐링 천안신부점,STOP
42158,[대구 동구] 미스터힐링 혁신도시점,STOP
42159,[강원] 정선평창 투어패스 (화암동굴 외 8곳),STOP
42168,[충북 청주] 미스터힐링 롯데시네마 서청주점,STOP
42169,[경남 거제] 미스터힐링 거제고현점,STOP
42170,[전남 구례] 봄의 전령사! 구례산수유 꽃축제(조식제공) ★ 당일여행,STOP
42179,[경북 구미] 미스터힐링 구미옥계점,STOP
42182,[강원 원주] 오크밸리 리프트권+SOL★수특가,STOP
42183,[대구 달서] 이월드 익스트림코스터 축제★임팩트특가,STOP
42184,[충북 제천] 리솜 해브나인 힐링스파 ★토특가,STOP
42185,[경남 김해] 미스터힐링 김해내외동점,STOP
42186,[대구 달서] 미스터힐링 두류광장점 / 성서 계명대점 ★황금연휴,STOP
42187,[강원 춘천] 엘리시안 강촌 강습권,STOP
42188,[부산/여수/거제] 동백꽃 3대명소 무박여행(부산or여수or거제&통영),STOP
42189,[경북 포항] 미스터힐링 포항이동점,STOP
42190,[강원 춘천] 엘리시안 강촌 강습권 ★카카오내비 특가,STOP
42191,[대구 달서] 이월드 발렌타인데이 패키지,STOP
42192,[제주 서귀포] 다이나믹 메이즈,STOP
42193,[대구 달서] 이월드 83타워 회전레스토랑 발렌타인데이 럭셔리 만찬,STOP
42194,[대구 중구] 미스터힐링 동성로점 ★황금연휴,STOP
42195,[대구 북구] 미스터힐링 칠곡동천동점 / 칠곡석적점,STOP
42196,[경기 용인] 에버랜드 종일이용권 ★츄러스 공짜★,STOP
42197,[제주 표선] 다이나믹메이즈,STOP
42206,[제주 남원] 코코몽에코파크 + 다이나믹메이즈,STOP
42214,[제주 남원] 코코몽에코파크 + 로봇스퀘어,STOP
42220,[제주 남원] 코코몽에코파크 + 메이즈랜드,STOP
42223,[제주 남원] 코코몽에코파크 + 소인국테마파크,STOP
42225,[경남 창원] 미스터힐링 창원점,STOP
42231,[부산 금정] 미스터힐링 부산대역점,STOP
42234,[부산 남구] 미스터힐링 경성대부경대점,STOP
42235,[부산 사상] 미스터힐링 : 힐링카페,STOP
42237,[부산 중구] 미스터힐링 남포동점★황금연휴,STOP
42239,[부산 광역시] 미스터힐링 서면/양정역점 : 힐링카페,STOP
42241,[부산 해운대] 미스터힐링 : 힐링카페,STOP
42242,[울산 남구] 미스터힐링 삼산동점★황금연휴,STOP
42243,[울산 중구] 미스터힐링 성남점★황금연휴,STOP
42244,[인천 서구] 미스터힐링 청라점-★황금연휴,STOP
42247,[경기 수원] 코코몽 키즈랜드 동수원점,STOP
42248,[대구 수성] 코코몽 키즈랜드 동아수성점,STOP
42251,[경기 이천] 미란다호텔 스파플러스 발렌타인데이 ★핫딜,STOP
42252,[부산 금정] 코코몽 키즈랜드 부산대점,STOP
42253,[서울 잠실] VR퓨처시네마 : VR영화관,STOP
42254,오픈기간 ~ 2019.05.25 재구매용,STOP
42255,[대구 달성] 네이처파크 연간회원권,STOP
42256,[전지점] 키즈파크 너티차일드 초특가 입장권,STOP
42268,[전남 완도] 완도 슬로시티 청산도+청해포구 무박여행,STOP
42272,[경기 용인] 양지파인 스키밸리 리프트권 단일권 ★리프트권_양지파인리조트★특가,STOP
42278,[전남 순천] 코코몽 키즈랜드 순천점,STOP
42281,[경기 수원] 코코몽 키즈랜드 수원터미널점,STOP
42289,[전남 광양] 광양매화축제+구례산수유축제 왕복여행 ★당일여행,STOP
42299,[서울 건대] 반지만들기 : 반지만들기 체험,STOP
42300,[전북] 전북 투어패스 1+1 핫딜★,STOP
42306,[제주] 와그 핑크버스 : 버스투어,STOP
42315,[경기 부천] 코코몽 키즈랜드 부천뉴코아점,STOP
42318,[경기 용인] 하이온VR 기흥점,STOP
42321,[경기 용인] 하이롤 롤러스케이트클럽,STOP
42325,[충남 예산] 리솜 스파캐슬 덕산온천 ★토특가,STOP
42328,[경기 평택] 코코몽 키즈랜드 평택점,STOP
42329,[인천 남동] 코코몽 키즈랜드 인천점,STOP
42333,[서울 송파] 코코몽 키즈랜드 송파점,STOP
42335,"[서울,전주,부산] 야외 방탈출게임_태양단의 비밀",STOP
42336,[서울/압구정] 조이 룸 보드카페,STOP
42340,[부산출발] 부산 야경 시티투어 ★당일여행,STOP
42344,[제주 조천] 에코랜드 + 넥슨컴퓨터박물관 + 상효원 패키지,STOP
42347,[서울 중구] 뮤지컬 판타스틱,STOP
42349,[서울 강남] 골프레슨이 필요할때 공브라더스 : 언주본점,STOP
42352,[서울 강남] 골프레슨이 필요할때 공브라더스 : 논현점,STOP
42360,[충남 보령] 국가대표 패러글라이딩,STOP
42362,[경남 하동] 섬진강 카누클럽,STOP
42363,[서울 신촌] 방탈출게임 ESC,STOP
42374,[서울 강서] 그랜드아쿠아24 찜질방,STOP
42388,[경기 오산] 레전드히어로즈 오산세교점,STOP
42390,[서울 서대문] 코스파파 : 화장품만들기 체험,STOP
42393,[충북 제천] 제천 짚트랙 + 산악체험 ★카카오내비 특가,STOP
42394,[충북 제천] 제천 짚트랙 + 산악체험,STOP
42395,[경기 과천] 서울랜드 종일권 + 눈썰매★핫딜,STOP
42397,[경기 수원] 놀숲 : 만화카페,STOP
42398,[서울 마포] 펀펀슬라임 카페 :홍대점,STOP
42399,[충남 보령] 힐링 패러글라이딩 : 대천,STOP
42400,"[서울 종로] 해와달한복, 경복궁 한복대여",STOP
42401,[부산/김해出] 광양매화꽃축제 + 전주한옥마을★당일여행,STOP
42402,[서울출발] 봄꽃대전 2탄!쌍계사십리벚꽃or진해벚꽃(무박2일)★내륙여행,STOP
42404,[서울/경기/인천出] 진해군항제 무박여행,STOP
42406,[서울/경기/인천出] 벚꽃물결 진해군항제★당일여행,STOP
42408,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지,STOP
42409,[대구 달서] 이월드 83타워 정월대보름 pkg,STOP
42411,[전남 여수] 테디베어 뮤지엄,STOP
42412,[충북] 힐링투어패스 (다누리아쿠아리움 외 11곳),STOP
42413,[충북] 힐링투어패스+단양수양개빛터널,STOP
42414,[경기 이천] 테르메덴 + 오크밸리 리프트권★수특가,STOP
42416,[서울/경기出] 남해 보리암일출+충렬사+ 광양 매화축제(무박여행),STOP
42425,[충북] 힐링투어패스 + 단양패러마을 패러글라이딩,STOP
42426,[경북 청도] 청도용암온천 단품권+빛축제 패키지,STOP
42427,[경북 청도] 청도용암온천 이용권+빛축제 패키지 ★카카오내비 특가,STOP
42428,[경북 청도] 청도 용암온천+빛축제 패키지,STOP
42429,[충북 단양] 온달관광지,STOP
42430,[경기 안양] 아이존팝 안양1번가점(키덜트),STOP
42434,[경북 경주] 캠프VR 경주 밀레니엄,STOP
42435,[경북 경주] 캠프VR 경주 밀레니엄 ★카카오내비 특가,STOP
42436,[충북 단양] 수양개빛터널,STOP
42437,[서울 강남] 심리상담분석카페 카페멘토 : 강남점,STOP
42438,[서울 광진] 심리상담분석카페 카페멘토 : 건대점,STOP
42439,[대구 중구] 심리상담분석카페 카페멘토 : 동성로점,STOP
42440,[대전 서구] 심리상담분석카페 카페멘토 : 둔산점,STOP
42442,[부산 중구] 심리상담분석카페 카페멘토 : 남포동점,STOP
42443,[부산 서면] 심리상담분석카페 카페멘토 : 서면점,STOP
42444,[경기 수원] 카페멘토 : 심리상담분석카페,STOP
42445,[경기 일산] 심리상담분석카페 카페멘토 : 일산점,STOP
42446,[전북 전주] 심리상담분석카페 카페멘토 : 전주점,STOP
42447,[서울 종로] 카페멘토 : 심리상담분석카페,STOP
42448,[충남 천안] 심리상담분석카페 카페멘토 : 천안점,STOP
42449,[서울 마포] 심리상담분석카페 카페멘토 : 홍대점,STOP
42451,[충북 충주] 리쿼리움,STOP
42452,[경기 남양주] 남양주 뮤지엄 투어패스 (유기농 테마파크 외 4곳),STOP
42461,[대구 달서] 이월드 2월 익스트림판타지 자유이용권★,STOP
42468,[경기 용인] 스카이 패러글라이딩,STOP
42475,[강원 평창] 대관령 삼양목장,STOP
42480,[강원 고성] 오션투유리조트 전동바이크,STOP
42484,[서울/경기출발] 경주 보문단지&대구 이월드 별빛 벚꽃축제 ★ 당일여행,STOP
42491,[경남 김해] 롯데워터파크 시즌OFF After 12 이용권♡,STOP
42492,[서울出] 전주 한옥마을 자유여행 ★당일여행,STOP
42506,[강원 원주] 오크밸리 리프트권+T단기데이터 PKG★특가,STOP
42512,[강원 영월] 영월투어패스 (고씨굴 외 7곳),STOP
42522,[충북 제천] 옥순정 국궁장,STOP
42530,[서울 을지로] 그레뱅뮤지엄 입장권 패키지,STOP
42531,[대구 달성] 테디베어 디아트 월드 ★특가,STOP
42535,[서울/죽전出]  고창 동백꽃+청보리밭 (당일),STOP
42538,[서울 강남] 뮤지엄 테라피 디어 브레인展,STOP
42545,[경기 남양주] 모란 미술관,STOP
42553,[부산/김해出] 울진붉은대게축제&영덕해맞이공원&포항호미곶(당일),STOP
42560,[서울 잠실] 콩 VR 잠실롯데월드몰점,STOP
42562,[강원 삼척] 삼척 쏠비치 아쿠아월드 미들시즌 종일권,STOP
42566,[충북] 힐링투어패스 + 충주 라이트월드,SOLDOUT
42572,[경남 거제] 거제 씨월드,STOP
42577,[충남 공주] 이안숲속 사계절 썰매 pkg,STOP
42595,[제주 애월] 제주 양떼목장,STOP
42601,[강원 속초] 속초 하모니유람선,STOP
42604,[충남 천안] 쥬쥬피아 3월,STOP
42608,[충북 천안] 캠프VR 천안 신부점,STOP
42609,[강원 춘천] 애니메이션 박물관 + 토이로봇관,STOP
42633,[대전]오월드 자유이용권 (최저가),STOP
42635,[경북 경주] 경주월드 자유이용권,STOP
42637,[경기 용인] 에버랜드 종일권+솜사탕,STOP
42639,[전국지점] 주렁주렁 테마파크★핫딜,STOP
42656,[경기 남양주] 프라움 악기박물관,STOP
42657,[경기 시흥] EBS잡스쿨 키즈카페 & 쉐프's 스푼,STOP
42658,[서울 종로] 웰메이드 감성연극 최고의사랑★공연,STOP
42659,[서울 대학로] 연극 하트시그널 3월★공연,STOP
42660,[서울 종로] 연극 그녀를 믿지마세요 3월★공연,STOP
42661,[서울 종로] 옥탑방고양이 3월★공연,STOP
42662,[전지점] 키즈파크 너티차일드 초특가 입장권,STOP
42663,[경기 용인] 에버랜드 종일권/야간권,STOP
42664,[경기 광주] 곤지암 악티바 실내 스포츠 테마파크 ★카카오내비 특가,STOP
42665,[강원 평창] 알펜시아 오션700 ★카카오내비 특가,STOP
42666,[경기 일산] 원마운트 스노우파크 After3 2인 특가,STOP
42667,[경기 일산] 원마운트 워터파크 1+1 종일권 특가,STOP
42668,[경기 일산] 원마운트 워터파크 종일권 2+1 특가,STOP
42670,[제주 서귀포] 세계자동차&피아노박물관+항공우주박물관,STOP
42671,[제주 서귀포] 세계자동차 박물관+유리의성,STOP
42672,[서울/경기/인천 出] 진해군항제 벚꽃 무박2일★버스여행,STOP
42673,[제주 서귀포] 서귀포잠수함+제주실탄사격장,STOP
42674,[서울/경기/인천 出] 하동십리 벚꽃길 자유여행★당일,STOP
42675,[서울/경기/인천 出] 하동십리 벚꽃길 자유여행★당일,STOP
42676,[제주 서귀포] 잠수함+점보빌리지 : 서귀포체험,STOP
42677,[강원 평창] 알펜시아 오션700 종일권,STOP
42678,[제주 서귀포] 서귀포잠수함+유리의성,STOP
42679,[제주 서귀포] 서귀포잠수함+세계자동차&피아노박물관,STOP
42680,[제주 서귀포] 서귀포잠수함+러브랜드,STOP
42681,[부산 중구] 오로라 롤러스케이트장 남포점,STOP
42682,[경기 김포] 피싱파크 진산각,STOP
42683,[경기 고양] VR스퀘어 일산점,STOP
42690,[대구 중구] 레전드히어로즈 노보텔점,STOP
42694,[경기 용인] 양지파인 스키밸리 리프트권 단일권 ★리프트권_양지파인리조트★특가,STOP
42698,[강원 삼척] 삼척투어패스 (해신당 공원 외 4곳) ♬,STOP
42700,[강원 삼척] 삼척투어패스 + 해상케이블카 [주중권],STOP
42701,[대구 동구] 궁전 라벤더,STOP
42702,[경기 남양주] 서호미술관,STOP
42740,[서울 강남] 코엑스 아쿠아리움 패밀리권★핫딜특가,STOP
42741,[부산/김해出] 구례 산수유축제+전주한옥마을★당일여행,STOP
42742,[강원 강릉] 강릉 2색 투어 : 별밤/시티 투어,STOP
42743,[서울 출발] 핑크물결 이천산수유&경포대 벚꽃★당일여행,STOP
42744,[서울/경기/인천出] 분홍벚꽃+먹방투어 : 마이산&전주한옥마을★당일여행,STOP
42745,[서울 관악] 캠프VR 신림점,STOP
42765,[경기 용인] EBS 캠스토리 봄체험 키즈카페,STOP
42789,[경기 용인] 에버랜드 종일권 + 헤어밴드 패키지,STOP
42793,[서울/경기 출발] 경포벚꽃축제+바다부채길+월화거리(조식제공)★ 당일여행,STOP
42796,[경기 남양주] 남양주 뮤지엄 투어패스 (유기농 테마파크 외 4곳),STOP
42803,[경기 일산] 아쿠아플라넷 특별할인,STOP
42806,[경기 일산] 아쿠아플라넷 패키지 특별할인,STOP
42809,[하나카드] 정선평창 투어패스 (화암동굴 외 8곳) !,STOP
42811,[경기 일산] 아쿠아플라넷 오전권/AFTER4 특별판매,STOP
42819,[경북 청도] 청도 용암온천+빛축제 패키지,STOP
42820,[경남 김해] 롯데워터파크 종일권 시즌off♡,STOP
42831,[경기 포천] 포천 투어패스,STOP
42836,[전남] 여수 투어패스,STOP
42837,[부산 기장] 딸기가 좋아 _ 동부산점,STOP
42838,[충남 태안] 안면도 투어패스 (코리아플라워파크-빛축제 외 1곳),STOP
42840,[부산 광역] 부산광역 투어패스 + 요트탈래,STOP
42842,[경북 청도] 청도용암온천 숙박PKG+빛축제,STOP
42849,[서울 잠실] 롯데월드 아이스링크,STOP
42854,[서울 강동] 더쥬 실내동물원 3월,STOP
42856,[서울 성동] 딸기가 좋아 _ 한양대점,STOP
42858,[서울/경기出]  파주 DMZ+마장호수출렁다리(당일/중식제공),STOP
42863,[부산 해운대] 부산아쿠아리움 4월 얼리버드,STOP
42866,[서울 잠실] 롯데월드 아이스링크 ★카카오내비 특가,STOP
42867,[강원 원주] 딸기가 좋아 원주점 3월,STOP
42868,[충북] 힐링투어패스 + 충주 라이트월드,STOP
42869,[인천 부평] 딸기가 좋아 인천부평점 3월,STOP
42870,[경기 분당] 딸기가 좋아_분당점,STOP
42871,[경기 고양] 딸기가 좋아 삼송점 3월,STOP
42872,[인천 서구] 딸기가 좋아 인천청라점 3월,STOP
42873,[전북 완주] 꿈꾸는 아이 직업체험장,STOP
42875,[서울 동대문] 라마다앙코르호텔 옥시젠 산소캡슐방,STOP
42880,[충남 당진] 월드아트서커스,STOP
42895,[슈퍼초특가] 대구 이월드★별빛벚꽃 얼리버드 특가,STOP
42896,"[서울 마포] 홍대연극 관객과의전쟁, 쇼미더퍼니, 홍콩쇼★개그공연",STOP
42898,[여수] 아쿠아플라넷 2인입장권 ★1+1초특가,STOP
42900,[강원 고성] 일성 사계절 눈썰매장,STOP
42904,[서울 마포] 그놈은 예뻤다. : 홍대 개그연극★공연,STOP
42908,[대구 달서] 이월드 스카이드롭 사전공개★ 자유이용권,STOP
42918,[경기 이천] 미란다호텔 스파플러스  온천,STOP
42919,[제주 서귀포] 한화 아쿠아플라넷 제주,STOP
42920,[경기 과천] 서울랜드 종일권,STOP
42921,[경기 이천] 미란다호텔 스파플러스 온천 ★카카오내비 특가,STOP
42922,[대구 달서] 이월드 83타워 아이스링크PKG 3월,STOP
42923,[경기 이천] 미란다호텔 스파플러스 춘계시즌,STOP
42925,[대구 달서] 이월드 연간회원권 3월,STOP
42926,[강원 춘천] 중도 물레길카누,STOP
42927,[제주 서귀포] 샹그릴라 요트투어 조조이용권,STOP
42929,[서울/경기出]  분홍빛 물든거리!  청풍호 벚꽃축제+모노레일+의림지(당일) ★ 당일여행,STOP
42930,발레 레슨 for 비기너,STOP
42931,[서울/경기出] 전국 벚꽃명소 총집합★당일여행,STOP
42933,[서울 종로] 대학로 라이어 1탄 3~4월,STOP
42934,[경북 경주] 키덜트 뮤지엄 : 이색전시,STOP
42935,[경기 용인] 에버랜드 종일권 3월14일까지★1+1초특가,STOP
42936,[대구 달성] 네이처파크 봄시즌,STOP
42937,[경남 거제] 대명 거제 오션베이 봄맞이★수특가,STOP
42940,[대구 달성] 네이처파크 봄시즌 ★카카오내비 특가,STOP
42941,[경북 청도] 용암온천 이용권 + 빛축제패키지,STOP
42942,[경기 이천] 테르메덴  온천수 스파 1+1 초특가,STOP
42953,[충남 아산] 파라다이스 스파 도고 로우시즌★즉시할인!,STOP
42965,[경기 이천] 미란다호텔 스파플러스 춘계시즌,STOP
42967,[전북 전주] 아름천사한복,STOP
42984,[부산 해운대] 벡스코상상체험+레이싱 키즈월드 시즌 2,STOP
42988,[경남 하동] 레일바이크,STOP
42990,[경기 여주] 썬밸리 워터파크 종일권 1+1,STOP
42992,[강원 속초] 설악 워터피아 로우시즌,STOP
42993,[경기 이천] 테르메덴  온천수 스파,STOP
42994,[서울 노원] 캠프VR 노원점,STOP
42995,[전북 전주] 한옥마을 통합패스권 (한복대여+사진촬영),STOP
42996,[전북 전주] 한옥마을 한복체험패스권,STOP
42997,[경기 구리] 캠프VR 구리점,STOP
42998,[전북 전주] 한옥마을 사진촬영 패스권,STOP
42999,[서울 마포] 정동극장X한국자전거나라 프리미엄 문화 패키지,STOP
43000,[서울/경기出] 하동십리 벚꽃길&구례 화엄사or사성암 ★당일여행,STOP
43001,[경기 의정부] 아일랜드캐슬 워터파크&스파,STOP
43002,[서울 마포] 홍대 뷰티인사이드展 로맨틱포토 에디션 초특가 ★카카오내비 특가,STOP
43003,[서울 신촌] 캠프VR 신촌점,STOP
43004,[경기 의정부] 아일랜드캐슬 스파(바데풀+사우나+찜질방),STOP
43005,[서울 노원] 피노파밀리아 테마파크 시즌2,STOP
43007,[부산/김해出] 광양매화축제&화개장터&구례산수유축제,STOP
43008,[경기 이천] 미란다 스파플러스 화이트데이 1+1 단독이벤트★핫딜,STOP
43010,[경기 파주] 헤이리 볼거리 패키지,STOP
43011,[전남 여수] 캠프VR 여수학동점,STOP
43012,[전남 여수] 12국동크루즈 유람선,STOP
43013,[강원 평창] 대관령 하늘목장,STOP
43017,[서울 광진] 누보로망 삼국지 전시,STOP
43019,[경기 과천] 서울랜드 종일권 ★핫딜,STOP
43028,[하남/경주] 주렁주렁 테마파크,STOP
43032,[강원 원주] 간현 레일바이크,STOP
43033,[충남 천안] 천안 오션파크 로우시즌,STOP
43034,[경기 일산] 원마운트 스노우파크 종일권 3월,STOP
43035,[경기 용인] 에버랜드 종일권 + 판다팝콘통 패키지,STOP
43036,[충남 부여] 롯데 부여 아쿠아가든 로우시즌,STOP
43043,[서울 종로] 로맨틱코미디 연극 한뼘사이 3월★공연,STOP
43044,[전남 여수] 캠프VR 여수학동점 ★카카오내비 특가,STOP
43045,[서울 마포] 홍대 뷰티인사이드展 로맨틱포토 에디션 초특가 ★전시,STOP
43046,[부산] 키자니아 어린이 체험테마파크,STOP
43047,[경북 울진] 덕구온천 스파월드,STOP
43048,[경북 울진] 덕구온천 스파월드,STOP
43049,"[경기 가평] 가평 투어패스  (아침고요수목원, 레일파크 외)",STOP
43050,[서울 강남] 라마다서울호텔 스파플러스 ★카카오내비 특가,STOP
43051,[서울 강남] 라마다서울호텔 스파플러스,STOP
43052,[대구 중구] 아이존팝 대구 동성로점 (키덜트),STOP
43053,[서울 종로] 옥탑방고양이 3월★공연,STOP
43054,[대구 중구] 아이존팝 대구 동성로점 ★카카오내비 특가,STOP
43055,[서울 종로] 옥탑방고양이 3월★공연,STOP
43056,[경기 일산] 원마운트 스노우파크 종일권 ★카카오내비 특가,STOP
43057,[서울 종로] 너의 목소리가 들려 : 속 보이는 초능력 로맨틱 코미디★공연,STOP
43058,[충남] 금강백제권역 투어패스 (오월드포함 13개관광지이용),STOP
43059,[충남] 금강백제권역 투어패스 (오월드포함 13개관광지이용),STOP
43060,[서울 광진] 본다빈치스퀘어 감성사진관★전시,STOP
43061,[경기 과천] 서울랜드 연간회원권 3월,STOP
43062,[전북 군산] 선유스카이선라인,STOP
43063,[서울 중구]  ★올림픽 사격 금메달 응원 이벤트★ 남대문 실탄사격장,STOP
43064,[대전 중구] 스카이넷 VR 체험존,STOP
43065,[경기 고양] 배다골 테마파크 만원의 행복,STOP
43066,[전북 전주] 한옥마을 왕발통 & 전동 바이크,STOP
43067,[대구 수성] 성원넥서스 인도어 골프연습장,STOP
